x[i]  		ACKLEY								RASTRIGIN						    ROSENBROCK							SCHWEFEL
0000001.	0000000000424.0950665206328000		0000000000004.3427334811712806		0000000000008.8614259978094920		0000000000424.0950665206328000
0000002.	-000000000417.8528725057474000		-000000000004.2788134144588530		-000000000003.7677930875862113		-000000000417.8528725057474000
0000003.	-000000000226.4696233093799300		-000000000002.3190489426880503		-000000000000.8970443496406988		-000000000226.4696233093799300
0000004.	0000000000063.2789614457808500		0000000000000.6479765652047957		0000000000003.4491844216867130		0000000000063.2789614457808500
0000005.	0000000000016.8524823033832260		0000000000000.1725694187866438		0000000000002.7527872345507483		0000000000016.8524823033832260
0000006.	0000000000320.5544687388006700		0000000000003.2824777598853183		0000000000007.3083170310820105		0000000000320.5544687388006700
0000007.	-000000000240.0048324011192400		-000000000002.4576494837874610		-000000000001.1000724860167885		-000000000240.0048324011192400
0000008.	-000000000357.5483354860463000		-000000000003.6612949553771146		-000000000002.8632250322906950		-000000000357.5483354860463000
0000009.	0000000000134.4560000964023600		0000000000001.3768294409871604		0000000000004.5168400014460350		0000000000134.4560000964023600
0000010.	-000000000214.4961960529402600		-000000000002.1964410475821080		-000000000000.7174429407941032		-000000000214.4961960529402600
0000011.	-000000000380.8269908047602700		-000000000003.8996683858407453		-000000000003.2124048620714043		-000000000380.8269908047602700
0000012.	-000000000111.3439426871719300		-000000000001.1401619731166401		0000000000000.8298408596924212		-000000000111.3439426871719300
0000013.	-000000000269.0913625240458500		-000000000002.7554955522462294		-000000000001.5363704378606875		-000000000269.0913625240458500
0000014.	-000000000142.0495361606268700		-000000000001.4545872502848192		0000000000000.3692569575905971		-000000000142.0495361606268700
0000015.	-000000000450.7024821275955400		-000000000004.6151934169865780		-000000000004.2605372319139330		-000000000450.7024821275955400
0000016.	-000000000122.3629857490120100		-000000000001.2529969740698830		0000000000000.6645552137648201		-000000000122.3629857490120100
0000017.	-000000000195.3284740300495000		-000000000002.0001635740677070		-000000000000.4299271104507421		-000000000195.3284740300495000
