x[i]  		ACKLEY								RASTRIGIN						    ROSENBROCK							SCHWEFEL
0000001.	-000000000015.9886820221271930		-000000000000.1637241039065831		0000000000002.2601697696680914		-000000000015.9886820221271930
0000002.	0000000000349.9899323171919000		0000000000003.5838969069280457		0000000000007.7498489847578790		0000000000349.9899323171919000
0000003.	0000000000014.9825893340126870		0000000000000.1534217147802899		0000000000002.7247388400101897		0000000000014.9825893340126870
0000004.	0000000000407.9819212144882400		0000000000004.1777348732363600		0000000000008.6197288182173240		0000000000407.9819212144882400
0000005.	-000000000048.5777510367451000		-000000000000.4974361706162700		0000000000001.7713337344488238		-000000000048.5777510367451000
0000006.	-000000000120.6008463281798400		-000000000001.2349526664005617		0000000000000.6909873050773019		-000000000120.6008463281798400
0000007.	-000000000184.6254778821597700		-000000000001.8905648935133161		-000000000000.2693821682323963		-000000000184.6254778821597700
0000008.	0000000000194.9800287595762700		0000000000001.9965954944980613		0000000000005.4247004313936440		0000000000194.9800287595762700
0000009.	-000000000456.4758250784471000		-000000000004.6743124488032980		-000000000004.3471373761767070		-000000000456.4758250784471000
0000010.	-000000000374.7108459831704300		-000000000003.8370390628676656		-000000000003.1206626897475567		-000000000374.7108459831704300
0000011.	-000000000357.0027070398872400		-000000000003.6557077200884454		-000000000002.8550406055983086		-000000000357.0027070398872400
0000012.	0000000000461.7737046576642000		0000000000004.7285627356944820		0000000000009.4266055698649630		0000000000461.7737046576642000
0000013.	0000000000307.1085990899047000		0000000000003.1447920546806243		0000000000007.1066289863485710		0000000000307.1085990899047000
0000014.	-000000000010.3541441640635410		-000000000000.1060264362400112		0000000000002.3446878375390465		-000000000010.3541441640635410
0000015.	0000000000281.4918642773203600		0000000000002.8824766901997600		0000000000006.7223779641598040		0000000000281.4918642773203600
0000016.	-000000000404.0273179665468000		-000000000004.1372397359774390		-000000000003.5604097694982010		-000000000404.0273179665468000
0000017.	-000000000418.4565828705621000		-000000000004.2849954085945560		-000000000003.7768487430584310		-000000000418.4565828705621000
0000018.	-000000000249.5807659951857000		-000000000002.5557070437907017		-000000000001.2437114899277852		-000000000249.5807659951857000
0000019.	-000000000009.5604164981243120		-000000000000.0978986649407929		0000000000002.3565937525281350		-000000000009.5604164981243120
0000020.	0000000000284.2239642173513000		0000000000002.9104533935856773		0000000000006.7633594632602690		0000000000284.2239642173513000
0000021.	-000000000107.7979346024473600		-000000000001.1038508503290610		0000000000000.8830309809632899		-000000000107.7979346024473600
0000022.	0000000000057.8397840767140700		0000000000000.5922793889455527		0000000000003.3675967611507110		0000000000057.8397840767140700
0000023.	-000000000109.1419001347251800		-000000000001.1176130573795860		0000000000000.8628714979791221		-000000000109.1419001347251800
0000024.	-000000000309.5466881836765000		-000000000003.1697580870008473		-000000000002.1432003227551477		-000000000309.5466881836765000
0000025.	0000000000419.1600688532198500		0000000000004.2921991050569720		0000000000008.7874010327982980		0000000000419.1600688532198500
0000026.	-000000000162.2408789279073700		-000000000001.6613466002217718		0000000000000.0663868160813887		-000000000162.2408789279073700
0000027.	0000000000109.9622479420598900		0000000000001.1260134189266937		0000000000004.1494337191308990		0000000000109.9622479420598900
0000028.	0000000000513.7669539573211000		0000000000005.2609736085229680		0000000000010.2065043093598170		0000000000513.7669539573211000
0000029.	-000000000375.4627678855480300		-000000000003.8447387431480120		-000000000003.1319415182832200		-000000000375.4627678855480300
